"","individual","environment","y"
"471",108,0.897259803315826,2.44948974278318
"472",108,-1.11407836761322,2.23606797749979
"473",108,-1.11407836761322,2.23606797749979
"474",108,0.897259803315826,3.46410161513775
"799",108,-1.11407836761322,2.82842712474619
"800",108,0.897259803315826,2.23606797749979
"801",108,-1.11407836761322,1.4142135623731
"802",108,0.897259803315826,2.82842712474619
"796",109,0.897259803315826,2.82842712474619
"119",110,0.897259803315826,3.16227766016838
"120",110,0.897259803315826,3.87298334620742
"121",110,-1.11407836761322,0
"1",111,0.897259803315826,2
"2",111,0.897259803315826,2.23606797749979
"724",112,0.897259803315826,3.16227766016838
"725",112,-1.11407836761322,3.87298334620742
"726",112,-1.11407836761322,2.44948974278318
"236",113,0.897259803315826,3.74165738677394
"237",113,0.897259803315826,3.46410161513775
"706",113,-1.11407836761322,2.64575131106459
"707",113,0.897259803315826,2
"934",113,0.897259803315826,4.47213595499958
"2013",113,-1.11407836761322,2
"2014",113,-1.11407836761322,1.4142135623731
"2044",113,0.897259803315826,2.44948974278318
"2045",113,-1.11407836761322,2.82842712474619
"2046",113,-1.11407836761322,3.46410161513775
"2047",113,0.897259803315826,3.87298334620742
"708",114,0.897259803315826,2.82842712474619
"709",114,-1.11407836761322,1.4142135623731
"710",114,0.897259803315826,3.16227766016838
"2073",114,-1.11407836761322,2.64575131106459
"2074",114,-1.11407836761322,2.82842712474619
"2075",114,0.897259803315826,3.16227766016838
"2076",114,0.897259803315826,5
"2157",115,0.897259803315826,4.12310562561766
"2158",115,-1.11407836761322,3.60555127546399
"738",116,-1.11407836761322,0
"739",116,0.897259803315826,3.87298334620742
"740",116,-1.11407836761322,2.23606797749979
"741",116,0.897259803315826,2.82842712474619
"433",117,0.897259803315826,2.23606797749979
"434",117,0.897259803315826,2.64575131106459
"435",117,-1.11407836761322,2.82842712474619
"148",118,0.897259803315826,2.23606797749979
"149",118,0.897259803315826,3.60555127546399
"502",118,-1.11407836761322,2.82842712474619
"503",118,0.897259803315826,3.87298334620742
"504",118,-1.11407836761322,2.23606797749979
"505",118,0.897259803315826,3.74165738677394
"556",119,0.897259803315826,2.82842712474619
"557",119,-1.11407836761322,3.16227766016838
"558",119,0.897259803315826,2.44948974278318
"559",119,-1.11407836761322,3.16227766016838
"881",120,0.897259803315826,2.64575131106459
"882",120,-1.11407836761322,2.23606797749979
"883",120,-1.11407836761322,3.87298334620742
"884",120,0.897259803315826,1.4142135623731
"721",121,-1.11407836761322,1.73205080756888
"722",121,-1.11407836761322,0
"2190",121,0.897259803315826,1.4142135623731
"2191",121,0.897259803315826,2.23606797749979
"2192",121,-1.11407836761322,2.82842712474619
"1329",122,-1.11407836761322,1
"1330",122,-1.11407836761322,1
"577",123,0.897259803315826,3.3166247903554
"578",123,0.897259803315826,5.47722557505166
"579",123,-1.11407836761322,3.46410161513775
"580",123,-1.11407836761322,3.87298334620742
"1074",123,0.897259803315826,4.69041575982343
"2550",123,0.897259803315826,3.87298334620742
"2551",123,0.897259803315826,3.87298334620742
"2552",123,-1.11407836761322,4.47213595499958
"552",124,-1.11407836761322,3.87298334620742
"553",124,0.897259803315826,4
"554",124,-1.11407836761322,3.74165738677394
"555",124,0.897259803315826,5
"1022",124,-1.11407836761322,3.87298334620742
"1023",124,0.897259803315826,2
"1024",124,-1.11407836761322,1.4142135623731
"1025",124,0.897259803315826,1
"2553",125,0.897259803315826,3.87298334620742
"2554",125,0.897259803315826,4.69041575982343
"888",126,0.897259803315826,1
"889",126,-1.11407836761322,1.4142135623731
"890",126,-1.11407836761322,0
"891",126,0.897259803315826,1
"2510",126,-1.11407836761322,2
"2511",126,0.897259803315826,2.64575131106459
"2512",126,-1.11407836761322,3.87298334620742
"2513",126,0.897259803315826,2.64575131106459
"911",127,-1.11407836761322,2.44948974278318
"912",127,-1.11407836761322,1.73205080756888
"1016",128,-1.11407836761322,1.4142135623731
"2584",129,-1.11407836761322,2.82842712474619
"2585",129,0.897259803315826,3.3166247903554
